States/UT,2020,2021,2022
Andaman and Nicobar Islands,5,13,9
Andhra Pradesh,231,296,382
Arunachal Pradesh,0,4,9
Assam,119,187,284
Bihar,256,389,524
Chandigarh,53,69,81
Chhattisgarh,153,163,237
Dadra and Nagar Haveli and Daman and Diu,5,12,12
Delhi,1752,2161,2567
Goa,66,80,106
Gujarat,866,1694,2274
Haryana,801,1054,1331
Himachal Pradesh,41,56,119
Jammu and Kashmir,64,132,170
Jharkhand,162,190,239
Karnataka,1724,2137,2563
Kerala,692,919,1077
Ladakh,1,0,4
Lakshadweep,1,0,0
Madhya Pradesh,422,555,895
Maharashtra,2657,3683,4801
Manipur,12,36,31
Meghalaya,0,9,10
Mizoram,1,2,6
Nagaland,5,7,7
Odisha,277,387,450
Puducherry,13,17,30
Punjab,145,240,295
Rajasthan,490,614,991
Sikkim,1,3,2
Tamil Nadu,753,1095,1805
Telangana,796,972,1377
Tripura,23,11,27
Uttar Pradesh,1363,1961,2572
Uttarakhand,114,161,236
West Bengal,390,680,999
Grand Total,14454,19989,26522
